Area,City,Neighborhood,Transaction reference number,Date,Property classification,Property type,Number of properties,Price,Space,Price per square meter
Eastern Region,Qatif,Abu Maan,19830924,5/1/2023,Residential,land,1,460000,500.0,920
Makkah Region,Jeddah, Al-Nakhil ,20696747,8/21/2023,Residential,apartment,1,548660,129.34,"4,242"
Makkah Region,Jeddah, Al Naseem ,21082664,9/28/2023,Residential,apartment,1,400000,116.06,"3,446"
Riyadh region,Riyadh,Arid,20968584,9/18/2023,Residential,land,1,330000,405.0,815
Eastern Region,Hafar Al-Batin, Yarmouk ,19729321,4/6/2023,Residential,land,1,130000,500.0,260
Riyadh region,Riyadh,Al-Ghanamiya,20655097,8/15/2023,Residential,land,1,145000,259.2,559
Jazan region,Jizan, alshaati ,20205505,6/19/2023,Residential,apartment,1,484354,181.61,"2,667"
Hail region,Hail, Al-Wadi ,20726466,8/23/2023,Residential,land,1,159840,499.5,320
Riyadh region,Riyadh,Munsiyah,20023040,5/25/2023,Residential,land,1,1200000,300.0,"4,000"
Makkah Region,Taif, Al-Arfaa ,20656940,8/15/2023,Residential,land,1,80000,625.0,128
Riyadh region,Riyadh,Badr,19892105,5/9/2023,Residential,land,1,620500,730.0,850
Riyadh region,Riyadh,Khalidiya,20227702,6/20/2023,Residential,land,1,850000,400.0,"2,125"
Medina region,AL Madinah,Al-Aqoul,20589948,8/7/2023,Residential,land,1,400000,871.46,459
Riyadh region,Riyadh,alkhalij,20992832,9/19/2023,Residential,land,1,1050000,360.0,"2,917"
Qassim region,baridah, Al-Batin ,20384790,7/13/2023,Residential,land,1,49500,325.0,152
Makkah Region,Jeddah, Al-Waha ,20559846,8/3/2023,Residential,apartment,1,210000,103.93,"2,021"
Eastern Region,alkhabar,Al-Azizia ,20821272,9/4/2023,Residential,land,1,1000000,1036.0,965
Riyadh region,Riyadh,Yarmouk,21006541,9/20/2023,Residential,apartment,1,620000,116.06,"5,342"
Qassim region,baridah,alshaqa,20712812,8/22/2023,Residential,land,1,115625,312.5,370
Riyadh region,Riyadh,Al-Khair,19932606,5/16/2023,Residential,land,1,390000,375.0,"1,040"
Riyadh region,Riyadh,Al-Azizia,20201486,6/18/2023,Residential,land,1,612500,437.5,"1,400"
Riyadh region,Riyadh,Yarmouk,19844761,5/3/2023,Residential,apartment,1,680000,133.93,"5,077"
Makkah Region,Taif, Sultana ,20398617,7/16/2023,Residential,land,1,200000,500.0,400
Riyadh region,Al Kharj, Al-Ghadeer  ,20017926,5/25/2023,Residential,land,1,450000,955.67,471
Makkah Region,Jeddah, Nahda ,21069648,9/27/2023,Residential,land,1,3000000,600.0,"5,000"
Medina region,AL Madinah,Al-Azizia ,19987386,5/22/2023,Residential,apartment,1,330050,124.41,"2,653"
Riyadh region,Riyadh, Al-Wisam ,20952644,9/15/2023,Residential,land,1,173701,424.77,409
Qassim region,baridah,Khub Al-Thunayan,19848281,5/4/2023,Residential,apartment,1,140000,183.56,763
Riyadh region,Riyadh,alrabie,20407478,7/17/2023,Residential,land,1,500000,300.0,"1,667"
Riyadh region,Riyadh,Shubra,20408637,7/17/2023,Residential,land,1,730000,249.0,"2,932"
Medina region,AL Madinah,King Fahd,20192639,6/15/2023,Residential,land,1,1000000,650.0,"1,538"
Makkah Region,Jeddah,alkhalij ,20056735,5/30/2023,Residential,land,1,600000,750.0,800
Riyadh region,Riyadh,Tuwaiq,19919325,5/14/2023,Residential,apartment,1,700000,181.24,"3,862"
Jazan region,Sabya,Al-Falah,19848491,5/4/2023,Residential,land,1,300000,231.91,"1,294"
Makkah Region,Jeddah,jawharat alearus,20065427,5/31/2023,Residential,land,1,400000,620.0,645
Riyadh region,Riyadh,Al-Manar,20823369,9/4/2023,Residential,apartment,1,565000,99.59,"5,673"
Qassim region,baridah,Al-Araymadhi,20041512,5/29/2023,Residential,land,1,106076,482.16,220
Makkah Region,Jeddah, Al Faisaliah  ,20788213,8/30/2023,Residential,land,1,3000000,800.0,"3,750"
Medina region,AL Madinah,Abyar Al-Mashi,20023115,5/25/2023,Residential,land,1,135000,408.63,330
Tabuk region,Tabuk, Rabwa 2 ,19833983,5/2/2023,Residential,land,1,600000,600.0,"1,000"
Riyadh region,Riyadh,Namar,19936890,5/16/2023,Residential,land,1,500000,460.0,"1,087"
Riyadh region,Riyadh,Al-Muayzaliyya,20774956,8/29/2023,Residential,land,1,1000000,500.0,"2,000"
Riyadh region,Riyadh,alnarjis,19950379,5/17/2023,Residential,land,1,4284000,840.0,"5,100"
Eastern Region,Hasa,Hajar,20269121,6/22/2023,Residential,land,1,100000,435.0,230
Eastern Region,Qatif, alsinaeia ,19726406,4/6/2023,Residential,land,1,896350,689.5,"1,300"
Riyadh region,Riyadh,Al-Azizia,20457678,7/24/2023,Residential,land,1,556094,358.77,"1,550"
Makkah Region,Jeddah, Al-Marwa ,20076431,6/1/2023,Residential,land,1,3750000,750.0,"5,000"
Jazan region,Jizan, almawada ,19959268,5/18/2023,Residential,land,1,100000,655.96,152
Eastern Region,Jubail, Alhambra ,20487027,7/26/2023,Residential,land,1,600000,600.0,"1,000"
Riyadh region,Riyadh,Mahdia,19722665,4/6/2023,Residential,land,1,990000,450.0,"2,200"
Asir region,Bisha,Bisha,20861141,9/7/2023,Residential,land,1,906000,595.5,"1,521"
Jazan region,Jizan, Rehab ,20041875,5/29/2023,Residential,apartment,1,490000,187.91,"2,608"
Makkah Region,Jeddah, Al-Marwa ,20634693,8/13/2023,Residential,apartment,1,549450,137.93,"3,984"
Makkah Region,Jeddah,alkhalij ,21089350,9/28/2023,Residential,land,1,400000,450.0,889
Makkah Region,Jeddah,Al-Furqan,20991922,9/19/2023,Residential,land,1,400000,900.0,444
Riyadh region,Riyadh, Al-Wisam ,20953771,9/15/2023,Residential,land,1,120900,300.0,403
Medina region,AL Madinah, Al-Zahraa,20140189,6/8/2023,Residential,land,1,670000,648.65,"1,033"
Riyadh region,Riyadh, Al-Wisam ,20951999,9/15/2023,Residential,land,1,168664,418.52,403
Riyadh region,Riyadh,alrimal,21013057,9/21/2023,Residential,land,1,478000,288.0,"1,660"
Riyadh region,Riyadh,Misfa,20166369,6/11/2023,Residential,land,1,500000,750.0,667
Riyadh region,Riyadh,East of Riyadh,20038189,5/28/2023,Residential,land,1,800000,2000.0,400
Makkah Region,Jeddah, Al-Nakhil ,19968245,5/18/2023,Residential,apartment,1,760000,199.04,"3,818"
Makkah Region,Jeddah, alsafa ,20808061,9/3/2023,Residential,apartment,1,536085,143.79,"3,728"
Eastern Region,Al-Hofuf, al'umara ,20051571,5/30/2023,Residential,land,1,260000,395.5,657
Qassim region,baridah, Al-Barika ,20436750,7/20/2023,Residential,land,1,200000,660.0,303
Al-Jawf region,Sakaka, Sultana ,20044600,5/29/2023,Residential,land,1,340000,975.77,348
Medina region,AL Madinah,Ranuna,20432176,7/20/2023,Residential,land,1,525450,397.48,"1,322"
Makkah Region,Makkah,Batha Quraish,20942509,9/14/2023,Residential,apartment,1,715000,198.8,"3,597"
Riyadh region,Riyadh,Olaya,20080407,6/1/2023,Residential,land,1,2100000,494.0,"4,251"
Qassim region,baridah,alqae albarid,20929552,9/13/2023,Residential,land,1,230000,302.67,760
Makkah Region,Jeddah, Al-Waha ,20559932,8/3/2023,Residential,apartment,1,330000,126.89,"2,601"
Qassim region,Riyadh Al-Khabara, Al-Rayyan ,20451009,7/23/2023,Residential,land,1,65000,648.0,100
Makkah Region,Makkah,Makkah Oasis,20718271,8/23/2023,Residential,apartment,1,220968,93.86,"2,354"
Jazan region,Jizan, Mohammedia 2 ,20937258,9/13/2023,Residential,apartment,1,200000,135.72,"1,474"
Eastern Region,Dammam, Al-Shuala ,20448036,7/23/2023,Residential,land,1,3120038,2197.21,"1,420"
Qassim region,baridah, al'ufuq ,20310612,7/6/2023,Residential,apartment,1,295000,154.58,"1,908"
Riyadh region,Riyadh,East of Riyadh,20108291,6/5/2023,Residential,land,1,142500,375.0,380
Eastern Region,Khafji, El Nozha ,20557454,8/3/2023,Residential,land,1,100000,400.0,250
Riyadh region,Riyadh,Al-Khair,20049405,5/29/2023,Residential,land,1,1200000,975.0,"1,231"
Eastern Region,Jubail, Jalmudah ,19977175,5/21/2023,Residential,land,1,271589,496.5,547
Jazan region,Abu Arish, Rawda ,20127185,6/7/2023,Residential,land,1,383789,548.27,700
Riyadh region,Riyadh,Jasmine,20713231,8/22/2023,Residential,apartment,1,999999,168.21,"5,945"
Qassim region,baridah, Salmiya ,20823948,9/4/2023,Residential,land,1,140000,288.0,486
Eastern Region,Dammam, Al-Shuala ,20892525,9/10/2023,Residential,land,1,861955,590.38,"1,460"
Riyadh region,Riyadh,Tuwaiq,20772902,8/29/2023,Residential,land,1,903490,450.0,"2,008"
Riyadh region,Riyadh,Tuwaiq,20763132,8/28/2023,Residential,apartment,1,362178,245.03,"1,478"
Makkah Region,Jeddah, Al-Marwa ,20094599,6/4/2023,Residential,apartment,1,640000,168.14,"3,806"
Eastern Region,Jubail, aldabab ,20145333,6/8/2023,Residential,land,1,400000,250.0,"1,600"
Makkah Region,Jeddah, Al-Waha ,21090641,9/28/2023,Residential,apartment,1,540000,155.75,"3,467"
Riyadh region,Riyadh, Al-Wisam ,20957460,9/16/2023,Residential,land,1,148514,362.27,410
Makkah Region,Jeddah,Al Hajara,20159103,6/11/2023,Residential,land,1,350000,864.0,405
Eastern Region,Al-Hofuf,Hofuf,20965471,9/17/2023,Residential,land,1,420000,420.0,"1,000"
Riyadh region,Riyadh,Al Naseem,20834755,9/5/2023,Residential,land,1,1120325,375.0,"2,988"
Riyadh region,Riyadh, Al-Wisam ,21067327,9/27/2023,Residential,land,1,450000,300.0,"1,500"
Makkah Region,Jeddah, musharafa ,20097694,6/5/2023,Residential,apartment,1,640965,159.95,"4,007"
Riyadh region,Riyadh,Al-Mughrazat,20377526,7/12/2023,Residential,apartment,1,1340000,147.66,"9,075"
Asir region,Abha,almuharith walieisan,20167154,6/11/2023,Residential,land,1,897610,897.6,"1,000"
Riyadh region,Riyadh, Al-Wisam ,20955908,9/16/2023,Residential,land,1,120900,300.0,403
Riyadh region,Riyadh,Tuwaiq,20560942,8/3/2023,Residential,land,1,720000,360.0,"2,000"
Eastern Region,Al-Nairiya,alkhalij ,19811873,4/27/2023,Residential,land,1,350000,1176.5,297
Qassim region,baridah, Nahda ,19825251,5/2/2023,Residential,apartment,1,500000,194.25,"2,574"
Qassim region,baridah,alshaqa,20387250,7/13/2023,Residential,land,1,154800,360.0,430
Riyadh region,Riyadh, iishbilia ,20762942,8/28/2023,Residential,apartment,1,494250,100.15,"4,935"
Riyadh region,Riyadh,Al-Malqa,20546430,8/2/2023,Residential,apartment,1,599000,104.12,"5,753"
Riyadh region,Riyadh,Yarmouk,19876702,5/8/2023,Residential,land,1,943500,255.0,"3,700"
Makkah Region,Jeddah, Miriykh ,20593912,8/8/2023,Residential,apartment,1,704040,211.96,"3,322"
Riyadh region,Riyadh, Al-Shumaisi ,20798467,8/31/2023,Residential,land,1,300000,136.65,"2,195"
Riyadh region,Riyadh,Al Naseem,19944173,5/16/2023,Residential,land,1,620000,594.0,"1,044"
Jazan region,Jizan, Mohammedia ,20811709,9/3/2023,Residential,apartment,1,454550,181.21,"2,508"
Eastern Region,alkhabar,Al-Azizia ,20372305,7/12/2023,Residential,apartment,1,300000,213.57,"1,405"
Makkah Region,Jeddah, alsafa ,20560872,8/3/2023,Residential,apartment,1,440000,103.8,"4,239"
Makkah Region,Makkah,Makkah Oasis,20832021,9/5/2023,Residential,apartment,1,260000,117.35,"2,216"
Riyadh region,Riyadh,alnarjis,19722805,4/6/2023,Residential,apartment,1,1040000,120.37,"8,640"
Eastern Region,Dammam, Al-Marikbat ,20057379,5/30/2023,Residential,land,1,1022000,400.0,"2,555"
Eastern Region,Qatif,Eank,20206423,6/19/2023,Residential,house,1,300000,514.98,583
Makkah Region,Jeddah, Al-Fayhaa ,20967371,9/17/2023,Residential,apartment,1,730000,161.07,"4,532"
Eastern Region,Al-Hofuf, al'umara ,19902577,5/17/2023,Residential,land,1,160000,240.0,667
Makkah Region,Jeddah, Miriykh ,20781739,8/30/2023,Residential,apartment,1,685626,203.45,"3,370"
Jazan region,Jizan, Almatar ,20613735,8/10/2023,Residential,apartment,1,250000,95.55,"2,616"
Makkah Region,Jeddah, Al-Marwa ,19993599,5/22/2023,Residential,apartment,1,458000,103.57,"4,422"
Makkah Region,Makkah,Batha Quraish,19926583,5/14/2023,Residential,apartment,1,400000,87.22,"4,586"
Asir region,Abha,Kharga Beni Malek,20823588,9/4/2023,Residential,land,1,230000,360.0,639
Riyadh region,Riyadh,Rahmaniyah,20665358,8/16/2023,Residential,land,1,9249240,1778.7,"5,200"
Makkah Region,Jeddah, Al-Bashair ,20135169,6/7/2023,Residential,land,1,904770,625.0,"1,448"
Riyadh region,Riyadh,Nahda,21032984,9/25/2023,Residential,land,1,2475000,750.0,"3,300"
Makkah Region,Jeddah, Al-Fayhaa ,21069463,9/27/2023,Residential,apartment,1,774562,204.39,"3,790"
Makkah Region,Jeddah, Raghama ,20922298,9/14/2023,Residential,land,1,1000000,600.0,"1,667"
Asir region,Abha, Mahalla,20579070,8/6/2023,Residential,land,1,400000,1159.25,345
Makkah Region,Jeddah, Al Nada ,20475924,7/25/2023,Residential,land,1,450000,895.5,503
Medina region,AL Madinah,Jaza Al-Anabis,20870726,9/8/2023,Residential,apartment,1,700000,173.98,"4,023"
Riyadh region,Riyadh,Mahdia,20334628,7/9/2023,Residential,apartment,1,1940000,383.91,"5,053"
Makkah Region,Jeddah,Rabwa,20073889,6/1/2023,Residential,apartment,1,623500,165.32,"3,771"
Makkah Region,Jeddah, musharafa ,20097819,6/5/2023,Residential,apartment,1,525122,133.79,"3,925"
Medina region,AL Madinah,Al Hajara,19709040,4/5/2023,Residential,land,1,519000,245.0,"2,118"
Eastern Region,Qatif,Tarut,20187114,6/14/2023,Residential,land,1,1080000,450.41,"2,398"
Riyadh region,Riyadh,Olaya,20321823,7/9/2023,Residential,land,1,904404,168.0,"5,383"
Medina region,AL Madinah,Al-Baida,20404420,7/17/2023,Residential,apartment,1,500000,370.18,"1,351"
Riyadh region,Riyadh, Al-Wisam ,20952587,9/15/2023,Residential,land,1,120900,300.0,403
Makkah Region,Jeddah, Al Sawari ,20140713,6/8/2023,Residential,apartment,1,908063,182.62,"4,972"
Tabuk region,Duba,Al-Morouj ,20615443,8/10/2023,Residential,land,1,500000,630.0,794
Riyadh region,Riyadh,Qurtuba,20517768,7/31/2023,Residential,land,1,1450000,337.5,"4,296"
Najran region,Najran, Rawda ,20114146,6/5/2023,Residential,land,1,90000,660.0,136
Riyadh region,Riyadh,Al-Khair,20863270,9/7/2023,Residential,land,1,1100000,812.5,"1,354"
Eastern Region,Hasa, Alsalam ,19766619,4/13/2023,Residential,land,1,1299999,695.55,"1,869"
Eastern Region,Dammam, Al-Shuala ,20864005,9/7/2023,Residential,land,1,1243753,949.43,"1,310"
Asir region,Bisha,Al-Khuzama,20660011,8/16/2023,Residential,apartment,1,162500,137.0,"1,186"
Makkah Region,Jeddah, alqarinia ,20788722,8/30/2023,Residential,land,1,200000,300.0,667
Najran region,Najran, Khalidiya ,20415920,7/25/2023,Residential,land,1,150000,500.0,300
Riyadh region,Riyadh,Arid,20290065,7/2/2023,Residential,land,1,295000,375.0,787
Riyadh region,Riyadh,Misfa,20217013,6/20/2023,Residential,land,1,255000,600.0,425
Riyadh region,Riyadh,Qurtuba,19746288,4/9/2023,Residential,land,1,3214080,669.6,"4,800"
Medina region,AL Madinah, Al Sadd منطقة المناهل ,20788966,8/30/2023,Residential,land,1,687628,373.5,"1,841"
Riyadh region,Riyadh,Al Faisaliah ,20617000,8/14/2023,Residential,land,1,2100000,1174.25,"1,788"
Makkah Region,Taif,Alsadad ,20105866,6/5/2023,Residential,land,1,1250000,476.59,"2,623"
Eastern Region,Dammam, Montazah ,20326124,7/9/2023,Residential,apartment,1,740000,164.79,"4,491"
Makkah Region,Jeddah, alsafa ,20684420,8/20/2023,Residential,apartment,1,748528,171.52,"4,364"
Riyadh region,Riyadh,Al-Yamamah,20729693,8/24/2023,Residential,apartment,1,302779,111.53,"2,715"
Qassim region,baridah, Al-Nakhil ,19726575,4/6/2023,Residential,land,1,1000000,500.0,"2,000"
Riyadh region,Riyadh,Badia,19806123,4/18/2023,Residential,land,1,1150000,625.0,"1,840"
Riyadh region,Riyadh,alrimal,21086114,9/28/2023,Residential,land,1,742500,294.07,"2,525"
Riyadh region,Riyadh,Al-Arid,19772214,4/12/2023,Residential,apartment,1,619048,107.51,"5,758"
Riyadh region,Al Kharj,Andalusia,20065417,5/31/2023,Residential,apartment,1,253913,147.07,"1,726"
Asir region,Barq,Khabat Al Hajri,20377844,7/12/2023,Residential,land,1,140000,708.0,198
Makkah Region,Jeddah, Al-Marwa ,20377894,7/12/2023,Residential,apartment,1,890000,243.93,"3,649"
Makkah Region,Jeddah,Al-Furqan,20114542,6/5/2023,Residential,land,1,460000,900.0,511
Riyadh region,Riyadh, iishbilia ,20833097,9/5/2023,Residential,land,1,1550000,450.0,"3,444"
Riyadh region,Riyadh,Nahda,20472518,7/25/2023,Residential,land,1,1375000,375.0,"3,667"
Eastern Region,Dammam, alzuhur ,20314135,7/6/2023,Residential,apartment,1,500000,137.53,"3,636"
Riyadh region,Riyadh,Misfa,20325654,7/9/2023,Residential,land,1,238913,449.93,531
Qassim region,baridah, Alsafra,20891944,9/10/2023,Residential,land,1,300000,400.0,750
Makkah Region,Jeddah, Al-Marwa ,20718011,8/24/2023,Residential,apartment,1,630000,153.09,"4,115"
Jazan region,Jizan, Muhammadiyah ,20574259,8/6/2023,Residential,apartment,1,549826,195.32,"2,815"
Medina region,AL Madinah,Abyar Al-Mashi ,20036514,5/28/2023,Residential,land,1,240000,755.38,318
Eastern Region,Dammam, tayiba ,20782509,8/30/2023,Residential,land,1,960000,400.0,"2,400"
Makkah Region,Jeddah, alluwlu ,21023623,9/24/2023,Residential,land,1,1260000,630.0,"2,000"
Qassim region,baridah, Al-Ghadeer  ,20181004,6/13/2023,Residential,land,1,300000,875.0,343
Eastern Region,Hasa,Hajar,19749072,4/10/2023,Residential,land,1,825000,375.0,"2,200"
Riyadh region,Riyadh,Mahdia,20666301,8/16/2023,Residential,land,1,870000,600.0,"1,450"
Makkah Region,Jeddah, Miriykh ,21092658,9/28/2023,Residential,apartment,1,484379,139.51,"3,472"
Eastern Region,Jubail,King Fahd,20474325,7/25/2023,Residential,apartment,1,950000,363.33,"2,615"
Riyadh region,Riyadh,Al-Zahra,19712101,4/6/2023,Residential,land,1,540000,400.0,"1,350"
Riyadh region,Riyadh,Mahdia,19829178,5/1/2023,Residential,apartment,1,1904762,451.73,"4,217"
Riyadh region,Riyadh,Eatiqa,21040949,9/26/2023,Residential,house,1,110000,87.48,"1,257"
Riyadh region,Riyadh,alsafa,20805669,9/2/2023,Residential,land,1,2475000,750.0,"3,300"
Riyadh region,Riyadh,Al-Khair,20370912,7/12/2023,Residential,land,1,450000,375.0,"1,200"
Qassim region,baridah, Al-Nakhil ,20848451,9/6/2023,Residential,land,1,550000,305.0,"1,803"
Qassim region,baridah, Al-Tayseer ,20938932,9/14/2023,Residential,land,1,159750,375.0,426
Makkah Region,Jeddah,albuhayrat,19699800,4/3/2023,Residential,land,1,790000,891.5,886
Qassim region,baridah, alrafiea ,20434749,7/20/2023,Residential,land,1,98500,425.0,232
Asir region,Abha, Mahalla,20508983,7/30/2023,Residential,land,1,400000,377.17,"1,061"
Eastern Region,Hafar Al-Batin, Yarmouk ,20907196,9/11/2023,Residential,land,1,50000,400.0,125
Riyadh region,Riyadh,alsuwaydaa,20407577,7/17/2023,Residential,land,1,675000,424.0,"1,592"
Riyadh region,Riyadh,Namar,20987808,9/19/2023,Residential,land,1,420000,450.0,933
Makkah Region,Taif, qarwaa ,20753046,8/27/2023,Residential,land,1,580000,481.25,"1,205"
Riyadh region,Riyadh,Al-Khair,20656669,8/15/2023,Residential,land,1,515000,313.56,"1,642"
Makkah Region,Makkah,Batha Quraish,20558657,8/3/2023,Residential,apartment,1,230000,127.35,"1,806"
Qassim region,baridah, Al-Batin ,20655336,8/15/2023,Residential,land,1,99000,325.0,305
Riyadh region,Riyadh, alwadi ,20636400,8/13/2023,Residential,apartment,1,1080000,169.81,"6,360"
Eastern Region,Dammam, alsayf ,20491613,7/27/2023,Residential,land,1,1139862,643.99,"1,770"
Makkah Region,Taif, Al-Rayyan ,20565001,8/4/2023,Residential,land,1,70000,43.5,"1,609"
Riyadh region,Riyadh,Al-Janadriyah,20967141,9/17/2023,Residential,land,1,525000,375.0,"1,400"
Qassim region,Onaizah, Al Rawabi ,20167918,6/12/2023,Residential,land,1,100000,375.0,267
Qassim region,baridah, Naqa ,20384890,7/13/2023,Residential,land,1,110000,484.0,227
Makkah Region,Taif, Al-Rumaida,20357122,7/11/2023,Residential,land,1,650000,756.43,859
Eastern Region,Dammam, Al-Fayhaa ,20135572,6/7/2023,Residential,land,1,1484340,1083.46,"1,370"
Riyadh region,Riyadh, Al-Bayan ,20753319,8/27/2023,Residential,land,1,576000,300.0,"1,920"
Riyadh region,Riyadh,Laban,20850580,9/6/2023,Residential,land,1,1640000,450.0,"3,644"
Eastern Region,Al-Hofuf, alwurud althaalith,20620258,8/10/2023,Residential,land,1,155000,390.0,397
Riyadh region,Riyadh,alrabie,20063931,5/31/2023,Residential,land,1,1442302,700.0,"2,060"
Makkah Region,Jeddah, alwafa ,20263213,6/21/2023,Residential,land,1,400000,450.0,889
Makkah Region,Jeddah, Nozha ,19984795,5/21/2023,Residential,apartment,1,860000,243.89,"3,526"
Qassim region,baridah, Al-Nakhil ,20604938,8/9/2023,Residential,apartment,1,110000,127.36,864
Makkah Region,Jeddah,Umm Al Salam,20720340,8/23/2023,Residential,apartment,1,571648,172.86,"3,307"
Riyadh region,Al Kharj,althaliama,19801100,4/17/2023,Residential,land,1,80000,500.0,160
Riyadh region,Riyadh,Al-Khair,19836311,5/2/2023,Residential,land,1,1190000,937.51,"1,269"
Riyadh region,Riyadh, Al-Sahab ,20957611,9/16/2023,Residential,land,1,218490,542.16,403
Tabuk region,Duba,Aldakhl Almahdud,19767245,4/12/2023,Residential,land,1,530000,500.0,"1,060"
Makkah Region,Jeddah, alsafa ,20377941,7/12/2023,Residential,apartment,1,750000,213.31,"3,516"
Riyadh region,Riyadh, Al-Sahab ,20956151,9/16/2023,Residential,land,1,120900,300.0,403
Riyadh region,Riyadh,Al-Farouq,21036585,9/26/2023,Residential,land,1,1144000,440.0,"2,600"
Riyadh region,Riyadh,Laban,19951240,5/17/2023,Residential,apartment,1,620000,184.32,"3,364"
Riyadh region,Riyadh, Al-Sahab ,20967188,9/17/2023,Residential,land,1,120900,300.0,403
Riyadh region,Riyadh,Al-Khair,20905490,9/11/2023,Residential,land,1,450000,375.0,"1,200"
Riyadh region,Hotat Bani Tamim, alsalam,20105991,6/5/2023,Residential,land,1,500000,440.0,"1,136"
Riyadh region,Riyadh,Laban,20893990,9/10/2023,Residential,apartment,1,518441,173.66,"2,985"
Makkah Region,Jeddah, alyaqut ,19943566,5/16/2023,Residential,land,1,1350000,315.0,"4,286"
Riyadh region,Riyadh, Al-Sahab ,20967884,9/17/2023,Residential,land,1,120900,300.0,403
Riyadh region,Riyadh,alnarjis,19984694,5/21/2023,Residential,land,1,5250000,1050.0,"5,000"
Eastern Region,alkhabar, Al-Khuzama ,20571156,8/6/2023,Residential,land,1,615000,375.0,"1,640"
Eastern Region,alkhabar,albuhayruh,19904757,5/11/2023,Residential,land,1,1800000,375.0,"4,800"
Riyadh region,Riyadh, Al-Bayan ,20272396,6/22/2023,Residential,land,1,789750,351.0,"2,250"
Makkah Region,Makkah,Al-Hafayr,20784597,9/3/2023,Residential,land,1,2143462,146.2,"14,661"
Riyadh region,Riyadh,Al Rawabi,20120308,6/6/2023,Residential,land,1,2600000,316.25,"8,221"
Eastern Region,Dammam,Badr,20858098,9/7/2023,Residential,land,1,850000,236.25,"3,598"
Riyadh region,Riyadh, Al-Wisam ,20955134,9/16/2023,Residential,land,1,120900,300.0,403
Asir region,Abha, Mahalla,20858588,9/7/2023,Residential,apartment,1,238300,285.34,835
Qassim region,baridah,North Buraydah,19938684,5/16/2023,Residential,land,1,346800,578.13,600
Eastern Region,Dammam,Al-Qadisiyah,19778019,4/13/2023,Residential,land,1,200000,252.0,794
Jazan region,Jizan, Mohammedia ,20015939,5/25/2023,Residential,apartment,1,500000,202.48,"2,469"
Tabuk region,Tabuk, Al-Qadisiyah  ,19885641,5/9/2023,Residential,apartment,1,322374,177.3,"1,818"
Qassim region,baridah,North Buraydah,20855006,9/6/2023,Residential,apartment,1,395000,80.08,"4,933"
Eastern Region,Jubail, Jalmudah ,19703739,4/4/2023,Residential,land,1,236621,503.3,470
Eastern Region,Hasa, Riyadh ,20306796,7/5/2023,Residential,land,1,250000,810.0,309
Riyadh region,Riyadh,Thalim,19876835,5/8/2023,Residential,land,1,738447,135.93,"5,433"
Eastern Region,Hafar Al-Batin,Al-Morouj ,20193515,6/15/2023,Residential,land,1,240000,400.0,600
Makkah Region,Jeddah, Al-Rayyan ,19871138,5/8/2023,Residential,apartment,1,685900,160.03,"4,286"
Eastern Region,alkhabar, albahr ,20090102,6/3/2023,Residential,apartment,1,780000,152.33,"5,120"
Makkah Region,Jeddah,jawharat alearus,20824143,9/4/2023,Residential,land,1,500000,900.0,556
Riyadh region,Riyadh,Hattin,19844085,5/3/2023,Residential,apartment,1,1089000,137.12,"7,942"
Asir region,Abha,Sir Al-Maharhat,20099578,6/4/2023,Residential,land,1,604110,579.76,"1,042"
Makkah Region,Jeddah, Rawda ,20367847,7/11/2023,Residential,land,1,8200000,550.0,"14,909"
Hail region,Hail, Al-Wadi ,20704098,8/21/2023,Residential,land,1,221825,869.94,255
Riyadh region,Riyadh,eakaaz,20071114,5/31/2023,Residential,land,1,809549,632.46,"1,280"
Riyadh region,Riyadh,Laban,20482896,7/26/2023,Residential,apartment,1,329524,92.3,"3,570"
Riyadh region,Riyadh,Badr,21060620,9/27/2023,Residential,apartment,1,250000,130.82,"1,911"
Makkah Region,Jeddah,jawharat alearus,20683287,8/19/2023,Residential,land,1,318500,434.0,734
Riyadh region,Hotat Bani Tamim, alsalam,21028944,9/25/2023,Residential,land,1,260000,620.0,419
Makkah Region,Jeddah, Al Nada ,19850388,5/4/2023,Residential,land,1,340000,916.82,371
Qassim region,almudhanab, Al-Rayyan ,20046237,5/30/2023,Residential,land,1,112000,662.5,169
Riyadh region,Riyadh,Al-Farouq,20230168,6/20/2023,Residential,land,1,900000,400.0,"2,250"
Riyadh region,Riyadh,Badr,20368753,7/11/2023,Residential,land,1,360000,400.0,900
Riyadh region,Riyadh,alsahafa,20054840,5/31/2023,Residential,land,1,163068,800.0,204
Jazan region,Abu Arish,Rah Abu Arish ,20655334,8/15/2023,Residential,land,1,160000,640.0,250
Eastern Region,alkhabar,Al-Azizia ,19703318,4/4/2023,Residential,land,1,1143740,420.0,"2,723"
Riyadh region,Riyadh,Al-Khair,20286515,6/26/2023,Residential,land,1,540000,372.0,"1,452"
Makkah Region,Jeddah, alshaati ,20533656,8/1/2023,Residential,land,1,3400000,737.47,"4,610"
Riyadh region,Riyadh,Olaya,19764334,4/11/2023,Residential,apartment,1,904400,44.15,"20,485"
Qassim region,Riyadh Al-Khabara, altaeawun ,19793886,4/15/2023,Residential,land,1,42000,350.42,120
Makkah Region,Makkah,Batha Quraish,20049810,5/29/2023,Residential,apartment,1,400000,87.88,"4,552"
Eastern Region,Dammam, Al-Shuala ,20319240,7/9/2023,Residential,land,1,768620,509.02,"1,510"
Eastern Region,Jubail, Jalmudah ,20226336,6/20/2023,Residential,land,1,232890,425.3,548
